model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
gemma3-1b,model.layers.18.self_attn.q_proj.weight,attn_q,18,1024x1152,1179648,0.00038260623114183545,0.24354473709232716,0.08288292169820291,0.1606995222021489,34.02664016792189,3.8698746784349147,0.0017589467037300653,15.88978979647528,,,,,0.06
gemma3-1b,model.layers.18.self_attn.v_proj.weight,attn_v,18,256x1152,294912,0.0019678755197674036,0.44568355201828336,0.08727696147785999,0.3584616524200715,19.58030082128925,1.7665934992253884,0.0032221128103483722,3.963784373969711,,,,,0.03
gemma3-1b,model.layers.19.mlp.down_proj.weight,mlp_down,19,1152x6912,7962624,7.231895870063454e-05,0.10185682455815526,0.01396307197556651,0.08783564557120008,13.71635351806062,0.8928488807478874,0.0007351161249127894,8.765724678940039,,,,,0.23
gemma3-1b,model.layers.19.mlp.gate_proj.weight,mlp_gate,19,6912x1152,7962624,0.0008778744377195835,1.1632588433929003,0.08842402462363828,1.0748173100461431,7.601520165094539,1.4794880396068466,0.00844032597673418,1.271847661429845,,,,,0.27
gemma3-1b,model.layers.19.mlp.up_proj.weight,mlp_up,19,6912x1152,7962624,0.0008778913179412484,0.10113341295995282,0.08727782370408269,0.013808713529637334,86.33971060091761,0.3310285330558216,0.0007298925115738637,3.2731866093246897,,,,,0.45
gemma3-1b,model.layers.19.self_attn.k_proj.weight,attn_k,19,256x1152,294912,0.001230963971465826,0.5261256490036836,0.06850738001559263,0.4575919983402529,13.021756503436752,4.210213204456503,0.0038052132256865766,8.002296053099334,,,,,0.01
gemma3-1b,model.layers.19.self_attn.o_proj.weight,attn_o,19,1152x1024,1179648,0.0002558720880188048,0.16006009305596924,0.06901051752531195,0.09104975325514479,43.11533223629788,10.038855074198061,0.0011555145181794736,62.71928800321083,,,,,0.05
gemma3-1b,model.layers.19.self_attn.q_proj.weight,attn_q,19,1024x1152,1179648,0.0006121510523371398,0.24406953718737467,0.10445736324693879,0.13960917461139094,42.79872372654864,4.751762239238411,0.0017627415884026902,19.46888699834111,,,,,0.07
gemma3-1b,model.layers.19.self_attn.v_proj.weight,attn_v,19,256x1152,294912,0.0012309355661273003,0.46949702165457463,0.07027670367308383,0.39921854932437745,14.968565331471806,0.8867898580338429,0.0033946803361571457,1.888808271687579,,,,,0.02
gemma3-1b,model.layers.2.mlp.down_proj.weight,mlp_down,2,1152x6912,7962624,4.14295463997405e-05,0.09721579614871967,0.013906110730040928,0.08328280609705317,14.308329780833832,2.4390611841462517,0.0007016048256412302,25.08914477658551,,,,,0.31
gemma3-1b,model.layers.2.mlp.gate_proj.weight,mlp_gate,2,6912x1152,7962624,0.0008778851479291916,1.1884071770020266,0.0849669318334921,1.1034779558043946,7.1494212914129776,1.238939706949238,0.008623891280067556,1.042521225826563,,,,,0.36
gemma3-1b,model.layers.2.mlp.up_proj.weight,mlp_up,2,6912x1152,7962624,0.0008778953924775124,0.10357954792585833,0.08775095223631572,0.01578465819621492,84.75436796067277,0.25792122142898055,0.0007475557249416265,2.4900786554272196,,,,,0.71
gemma3-1b,model.layers.2.self_attn.k_proj.weight,attn_k,2,256x1152,294912,0.001289905165322125,0.4759931701600051,0.07251238112129013,0.403483873792091,15.233813369915167,3.0816815541568787,0.0034417627220121867,6.47421380672536,,,,,0.01
gemma3-1b,model.layers.2.self_attn.o_proj.weight,attn_o,2,1152x1024,1179648,0.0004387249064166099,0.19423564591610765,0.10477150314392417,0.08943534693758448,53.94840763853157,2.8566186051977915,0.0014024765116521353,14.706974055789916,,,,,0.05
gemma3-1b,model.layers.2.self_attn.q_proj.weight,attn_q,2,1024x1152,1179648,0.000584176043048501,0.18384690099748635,0.0825172887523032,0.10133383529473394,44.88266752788069,4.824094522150579,0.0013273956238422154,26.23973804277798,,,,,0.05
gemma3-1b,model.layers.2.self_attn.v_proj.weight,attn_v,2,256x1152,294912,0.0012899168068543077,0.48375942133701555,0.08914770442043948,0.394621535157303,18.42773312711076,0.786822189326819,0.003498054513300383,1.626474141117909,,,,,0.02
gemma3-1b,model.layers.20.mlp.down_proj.weight,mlp_down,20,1152x6912,7962624,4.203079879516736e-05,0.09888916951966698,0.013712464003503793,0.08524560512836205,13.856842725206523,0.7643512385228091,0.0007136875103330102,7.72937261214228,,,,,0.29
gemma3-1b,model.layers.20.mlp.gate_proj.weight,mlp_gate,20,6912x1152,7962624,0.0009101470350287855,1.096212144032116,0.08961932696697159,1.0067032441115675,8.17453998769778,1.3658561153468196,0.007951159972852475,1.2459779092784835,,,,,0.28
gemma3-1b,model.layers.20.mlp.up_proj.weight,mlp_up,20,6912x1152,7962624,0.000910154776647687,0.10421236683264556,0.08807393571041881,0.016228876418150764,84.44061469968219,0.31603300157506675,0.0007521252960343394,3.032586354003297,,,,,0.39
gemma3-1b,model.layers.20.self_attn.k_proj.weight,attn_k,20,256x1152,294912,0.0023678457364439964,0.4357009268600609,0.08286411987564676,0.35284129137733017,19.01838208466377,5.7090640886572785,0.0031497846466295295,13.103171778404144,,,,,0.06
gemma3-1b,model.layers.20.self_attn.o_proj.weight,attn_o,20,1152x1024,1179648,0.0007951352163217962,0.17290225799265757,0.09052896860195944,0.0823802738656762,52.35635025056815,10.344840600898053,0.0012483056363937523,59.83056971608407,,,,,0.1
gemma3-1b,model.layers.20.self_attn.q_proj.weight,attn_q,20,1024x1152,1179648,0.0003181565261911601,0.21405489959316348,0.07828229661925899,0.1357456692331529,36.5757326653473,8.900185953872764,0.0015457346618335001,41.5789873102116,,,,,0.05
